gene_id	gene_name	DRX399598	DRX399599	DRX399600	DRX399601	DRX399602	DRX399603
ENSMUSG00000001576	Ergic1	2561	2769.999	2201	2602.001	2178	3397.001
ENSMUSG00000001583	Tnk1	1229.999	1106.999	880	1085	1233.991	1134.999
ENSMUSG00000001588	Acap1	2267.999	2291.001	1612.999	2813	2751	3350.001
ENSMUSG00000001604	Tcea3	13	48	19	23	45	13
ENSMUSG00000001622	Csn3	24	133	8	5	559	87
ENSMUSG00000001627	Ifrd1	1653.001	1507.999	1374.999	1286	1439.997	1754
ENSMUSG00000001630	Stk38l	321	333	179	331.902	315	373.933
ENSMUSG00000001632	Brpf1	1187.999	1392	823.001	1038	1063.001	1177.001
ENSMUSG00000001642	Akr1b3	1232.51	1299.715	1038.734	979.64	1087.553	1291.494
ENSMUSG00000001655	Hoxc13	5	4	1	24	9	9
ENSMUSG00000001656	Hoxc11	27	32	8	43	42	64
ENSMUSG00000001657	Hoxc8	5	5	9	6	7	12
ENSMUSG00000001661	Hoxc6	13	17	11	22	20	39.001
ENSMUSG00000001663	Gstt1	43	41	63	59	28	253
ENSMUSG00000001665	Gstt3	319.999	440	470.999	357	195.485	563
ENSMUSG00000001666	Ddt	234	268	208	291	184.937	352
ENSMUSG00000001670	Tat	67	41	33	8	3	8
ENSMUSG00000001672	Marveld3	1542	2289	1991	1396	1325	804
ENSMUSG00000001674	Ddx18	1312.656	1485.287	1864.577	1042.257	1458.255	1325.448
ENSMUSG00000001687	Ubl3	2709	2688	2262	3043	1961	2346
ENSMUSG00000001700	Gramd3	434	429	666	367	513	347
ENSMUSG00000001707	Eef1e1	596	671	517	384.001	507	479
ENSMUSG00000001729	Akt1	4889	4889	3522	4299.999	5316	5250
ENSMUSG00000001739	Cldn15	23	32	15	32	22	55
ENSMUSG00000001741	Il16	152	172	132	212	210.999	380.999
ENSMUSG00000001750	Tcirg1	3065.001	2665	2722.001	2604	2092.999	3060.001
ENSMUSG00000001751	Naglu	621	438	402	394	562	664
ENSMUSG00000001755	Coasy	659.001	830	847	598	707.001	664
ENSMUSG00000001761	Smo	155	145	82	207	199	353
ENSMUSG00000001763	Tspan33	33	32	9	36.867	19	36
ENSMUSG00000001767	Crnkl1	695	880	599	701	581	724
ENSMUSG00000001768	Rin2	2872.999	3620	2993	4044	3407.001	3113.001
ENSMUSG00000001773	Folh1	0	2	3	4	4	8
ENSMUSG00000001774	Chordc1	1233	1420.001	998.001	948	1088	859.001
ENSMUSG00000001783	Rtcb	3094	3956	3685	2626	2743	2972
ENSMUSG00000001785	Pwp1	553	630	570	446	564	537
ENSMUSG00000001786	Fbxo7	309.999	303.999	257.001	309.999	294	335
ENSMUSG00000001794	Capns1	4763.001	5837.999	2962	4532.001	5093.001	5765.001
ENSMUSG00000001802	Lrp3	35	33	21	65	30	88
ENSMUSG00000001804	Dsg4	32	26	21	10	39	27
ENSMUSG00000001815	Evx2	0	0	0	1	2	4
ENSMUSG00000001819	Hoxd13	2	1	2	0	2	3
ENSMUSG00000001823	Hoxd12	0	0	0	0	0	0
ENSMUSG00000001827	Folr1	24	23	41	51	14	26
ENSMUSG00000001829	Clpb	552	633	522.001	569	465	554.999
ENSMUSG00000001833	Sept7	3069.999	3937	2208.999	3550.001	3187	3716
ENSMUSG00000001844	Zdhhc4	458.999	500	385	549.999	370.001	403.999
ENSMUSG00000001847	Rac1	8118.304	7987.988	5278	10108.998	8410.974	9186.972
ENSMUSG00000001855	Nup214	1421.001	1566	1470.001	1366	1343.001	1285.001
ENSMUSG00000001864	Aif1l	54	240.999	24	34	114	102
ENSMUSG00000001865	Cpa3	25	26	2	10	34	54
ENSMUSG00000001870	Ltbp1	110	84	56	73	288	182.999
ENSMUSG00000001891	Ugp2	1671	2156.999	2024	2132	1595	1943.001
ENSMUSG00000001901	Kcnh6	5	3	5	0	0	1
ENSMUSG00000001909	Trmt1	1378.001	1901.001	1507.999	1204.999	1155	1314
ENSMUSG00000001910	Nacc1	2621	3609.864	2368	2314.979	3062.949	2577
ENSMUSG00000001911	Nfix	1493	1304	856	1146	1466	1240.001
ENSMUSG00000001918	Slc1a5	1730	2100.228	1548	1336	1655	1449
ENSMUSG00000001924	Uba1	7861.999	6578.001	6145.519	7830	8133.001	7820
ENSMUSG00000001930	Vwf	1882	1725.001	2757	1753	1338	1990.001
ENSMUSG00000001942	Siae	424.001	628	331.022	619	610.1	393
ENSMUSG00000001943	Vsig2	13	12.999	5	11	6	11
ENSMUSG00000001946	Esam	600	443	398.172	628	493	999.001
ENSMUSG00000001948	Spa17	24	35	11	31	15	21
ENSMUSG00000001962	Fam50a	863	706	697	688	680	933
ENSMUSG00000001964	Emd	785.427	600.775	642.514	594.804	804.454	744.301
ENSMUSG00000001983	Taco1	281.948	386	378	346	235	242
ENSMUSG00000001985	Grik3	0	2	1	0	1	0
ENSMUSG00000001986	Gria3	121	149	61	117	104	210
ENSMUSG00000001988	Npas1	0	0	0	0	0	0
ENSMUSG00000001995	Sipa1l2	690	715	453	707	581	884
ENSMUSG00000001998	Ap4e1	388	491.001	423	484	376.001	426
ENSMUSG00000001999	Blvra	471.001	587	466	678.999	479.999	565.001
ENSMUSG00000002006	Pdzd4	29	27	23	32	31	49
ENSMUSG00000002007	Srpk3	4	22	2	6	9	4
ENSMUSG00000002010	Idh3g	1931	1937.001	1785	1844.001	1751	1539
ENSMUSG00000002012	Pnck	11	8	6	4	11	13
ENSMUSG00000002014	Ssr4	2481.999	1947	2241	1713.999	1974.001	2058.999
ENSMUSG00000002015	Bcap31	2017	1827	1576	2044	2119	1948
ENSMUSG00000002017	Fam98a	1035	1257.001	1127	737	790	775
ENSMUSG00000002020	Ltbp2	2603	2286.999	1334.001	2162	4491.999	4949
ENSMUSG00000002028	Kmt2a	2825	4017.001	2530	3711.999	2689.999	3116
ENSMUSG00000002031	Ift46	630.999	814.999	530	618	558.999	588.001
ENSMUSG00000002032	Tmem25	43	59.001	24	47	18	24
ENSMUSG00000002033	Cd3g	37	39	53	44	31	90
ENSMUSG00000002043	Trappc6a	450	589	458	477	384	528
ENSMUSG00000002052	Supt6	2385	2287	2125	2206	2369	2540
ENSMUSG00000002055	Spag5	342.001	411	303	400.001	466	385
ENSMUSG00000002057	Foxn1	2	0	0	0	1	1
ENSMUSG00000002058	Unc119	156.999	103	77	111	116.001	146.999
ENSMUSG00000002059	Rab34	234.001	197	150	203	210	302.001
ENSMUSG00000002064	Sdf2	964	1050	841.001	874	834.001	1077.999
ENSMUSG00000002068	Ccne1	23	28	8	42	33	48
ENSMUSG00000002076	Hsf2bp	10	16	16	5	10	8
ENSMUSG00000002083	Bbc3	130	250	145	143	200	249
ENSMUSG00000002100	Mybpc3	4	0	2	1	2	2
ENSMUSG00000002102	Psmc3	2758.999	3167.001	2371	2839.999	2731.999	2633.999
ENSMUSG00000002103	Acp2	1142	1673	1014	1729.069	1104.999	1429
ENSMUSG00000002104	Rapsn	13	26	4	15	21	24
ENSMUSG00000002105	Slc39a13	533.001	582	300	678.001	399.999	689
ENSMUSG00000002107	Celf2	1118.001	1504.999	1038.999	1628.999	1139.001	1438.999
ENSMUSG00000002108	Nr1h3	39	51	48.001	58	61.999	86
ENSMUSG00000002109	Ddb2	538.001	811	548	757.931	373.999	506.999
ENSMUSG00000002111	Spi1	495	463.001	312	553	574	775
ENSMUSG00000002129	Sf3a1	1635	1741	1361.001	1276	1624	1420.001
ENSMUSG00000002147	Stat6	1929	1984.999	1620.999	1938	1585	2333.001
ENSMUSG00000002190	Clgn	1	4	2	4	3	1
ENSMUSG00000002204	Napsa	114	100	63	146	176	189
ENSMUSG00000002205	Vrk3	692	706	566	520	650	696
ENSMUSG00000002210	Smg9	565.001	631.001	474.999	485.001	490	590
ENSMUSG00000002221	Paxip1	756	831	729	914	813	714
ENSMUSG00000002222	Rmnd5a	2643	3382	2489	2674	2209.999	2383
ENSMUSG00000002227	Mov10	560	460	641.001	583.999	388	486
ENSMUSG00000002228	Ppm1j	57	44	25	28	48	116
ENSMUSG00000002233	Rhoc	1131	1128	650	1383.999	985	1994.001
ENSMUSG00000002240	Prr27	0	0	0	0	0	0
ENSMUSG00000002249	Tead3	469.001	420	302	403.999	305	469.999
ENSMUSG00000002250	Ppard	1616	1469.001	938.999	1475.999	1031.999	1907
ENSMUSG00000002257	Def6	555	711	393	570.999	663	606
